lot_id,lot_name,permit,enforcement_days,posted_restrictions,enforcement_start,enforcement_end
342,Stadium Concourse,,Always,Miscellaneous Permissions,0:00:00,0:00:00
343,Stadium Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
344,Stamp Student Union,,Always,Miscellaneous Permissions,0:00:00,0:00:00
345,Susquehanna Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
346,Symons Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
347,Systems Administration Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
348,Taliaferro Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
349,Tawes Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
350,Technology Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
351,Terrrapin Trail Garage,,Always,Miscellaneous Permissions,0:00:00,0:00:00
352,Turner Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
353,Union Lane,,Always,Miscellaneous Permissions,0:00:00,0:00:00
354,Valley Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
355,Van Munching Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
356,Visitor Center,,Always,Miscellaneous Permissions,0:00:00,0:00:00
357,Washington Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
358,Wicomico Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
